building_id,year,renovation_probability
1542,2033,0.1
64,2033,0.5
510,2033,0.1
882,2033,0.1
1102,2033,0.1
617,2033,0.1
1591,2033,0.1
55,2033,0.4
84,2033,0.2
234,2033,0.4
545,2033,0.3
639,2033,0.1
1221,2033,0.1
71,2033,0.5
238,2033,0.3
244,2033,0.3
542,2033,0.1
1234,2033,0.1
61,2033,0.3
227,2033,0.3
435,2033,0.2
558,2033,0.3
680,2034,0.3
937,2034,0.2
979,2034,0.3
2066,2034,0.5
2100,2034,0.2
140,2034,0.3
290,2034,0.2
312,2034,0.5
499,2034,0.2
2042,2034,0.3
26,2034,0.1
389,2034,0.1
543,2034,0.2
574,2034,0.2
595,2034,0.1
1264,2034,0.1
59,2034,0.3
77,2034,0.3
250,2034,0.1
366,2034,0.2
892,2034,0.3
18,2034,0.1
28,2034,0.5
219,2034,0.3
1251,2034,0.1
1496,2034,0.2
1542,2034,0.1
64,2034,0.5
510,2034,0.1
882,2034,0.1
1102,2034,0.1
617,2034,0.1
1591,2034,0.1
55,2034,0.4
84,2034,0.2
234,2034,0.4
545,2034,0.3
639,2034,0.1
1221,2034,0.1
71,2034,0.5
238,2034,0.3
244,2034,0.3
542,2034,0.1
1234,2034,0.1
61,2034,0.3
227,2034,0.4
435,2034,0.2
558,2034,0.3
703,2034,0.1
33,2034,0.3
222,2034,0.2
556,2034,0.3
680,2035,0.3
937,2035,0.2
979,2035,0.3
2066,2035,0.5
2100,2035,0.2
140,2035,0.3
290,2035,0.2
312,2035,0.5
499,2035,0.2
2042,2035,0.3
26,2035,0.1
389,2035,0.1
543,2035,0.2
574,2035,0.2
595,2035,0.1
1264,2035,0.1
59,2035,0.3
77,2035,0.3
250,2035,0.1
366,2035,0.2
892,2035,0.3
18,2035,0.1
28,2035,0.5
219,2035,0.3
1251,2035,0.1
1496,2035,0.2
1542,2035,0.1
64,2035,0.5
510,2035,0.1
882,2035,0.1
1102,2035,0.1
617,2035,0.1
1591,2035,0.2
55,2035,0.4
84,2035,0.2
234,2035,0.4
545,2035,0.3
639,2035,0.1
71,2035,0.5
238,2035,0.3
244,2035,0.3
542,2035,0.1
1234,2035,0.1
61,2035,0.3
227,2035,0.4
435,2035,0.2
558,2035,0.3
703,2035,0.1
33,2035,0.3
222,2035,0.2
556,2035,0.3
1106,2035,0.1
624,2035,0.3
1226,2025,0.1
173,2025,0.1
298,2025,0.1
428,2025,0.3
557,2025,0.1
1226,2026,0.1
173,2026,0.2
298,2026,0.2
428,2026,0.3
557,2026,0.1
1207,2026,0.2
1426,2026,0.1
48,2026,0.1
208,2026,0.2
297,2026,0.1
379,2026,0.1
547,2026,0.1
1226,2027,0.1
173,2027,0.3
298,2027,0.2
428,2027,0.3
557,2027,0.1
1207,2027,0.2
1426,2027,0.1
48,2027,0.1
208,2027,0.2
297,2027,0.1
379,2027,0.2
547,2027,0.1
892,2027,0.1
895,2027,0.1
2084,2027,0.1
1226,2028,0.1
173,2028,0.3
298,2028,0.2
428,2028,0.3
557,2028,0.1
1207,2028,0.2
1426,2028,0.1
48,2028,0.1
208,2028,0.2
297,2028,0.2
379,2028,0.2
547,2028,0.1
895,2028,0.1
2084,2028,0.1
1566,2028,0.1
1226,2029,0.1
428,2029,0.3
557,2029,0.1
1207,2029,0.2
1426,2029,0.2
208,2029,0.2
379,2029,0.2
547,2029,0.1
895,2029,0.1
2084,2029,0.1
1566,2029,0.1
1525,2029,0.1
19,2029,0.1
175,2029,0.3
192,2029,0.2
238,2029,0.1
340,2029,0.1
465,2029,0.1
1226,2030,0.1
428,2030,0.3
557,2030,0.1
1207,2030,0.2
1426,2030,0.2
208,2030,0.2
379,2030,0.2
547,2030,0.1
895,2030,0.2
1566,2030,0.1
1525,2030,0.1
19,2030,0.1
175,2030,0.3
192,2030,0.2
238,2030,0.1
340,2030,0.1
465,2030,0.1
830,2030,0.1
988,2030,0.2
1010,2030,0.3
1206,2030,0.1
20,2030,0.1
39,2030,0.2
275,2030,0.2
472,2030,0.1
556,2030,0.2
1226,2031,0.1
428,2031,0.3
557,2031,0.1
1207,2031,0.2
1426,2031,0.2
208,2031,0.2
379,2031,0.2
547,2031,0.2
895,2031,0.2
1566,2031,0.1
1525,2031,0.1
19,2031,0.1
175,2031,0.3
192,2031,0.2
238,2031,0.2
340,2031,0.2
465,2031,0.1
830,2031,0.2
988,2031,0.2
1010,2031,0.3
1206,2031,0.1
20,2031,0.1
39,2031,0.2
275,2031,0.2
472,2031,0.1
556,2031,0.2
1232,2031,0.1
279,2031,0.2
1226,2032,0.1
428,2032,0.3
557,2032,0.1
1426,2032,0.2
208,2032,0.2
379,2032,0.2
547,2032,0.2
895,2032,0.2
1566,2032,0.1
1525,2032,0.1
19,2032,0.1
175,2032,0.4
192,2032,0.2
340,2032,0.2
465,2032,0.1
830,2032,0.2
988,2032,0.2
1010,2032,0.4
1206,2032,0.1
20,2032,0.1
39,2032,0.2
275,2032,0.2
472,2032,0.1
556,2032,0.2
1232,2032,0.1
279,2032,0.2
248,2032,0.2
541,2032,0.1
628,2032,0.2
1226,2033,0.1
428,2033,0.3
557,2033,0.1
1426,2033,0.2
208,2033,0.2
379,2033,0.2
547,2033,0.2
895,2033,0.2
1566,2033,0.1
1525,2033,0.1
19,2033,0.1
175,2033,0.4
192,2033,0.2
340,2033,0.2
465,2033,0.1
830,2033,0.2
988,2033,0.2
1010,2033,0.4
1206,2033,0.1
20,2033,0.1
39,2033,0.2
275,2033,0.2
472,2033,0.1
556,2033,0.2
1232,2033,0.1
279,2033,0.2
248,2033,0.2
541,2033,0.1
628,2033,0.2
216,2033,0.2
364,2033,0.3
1226,2034,0.1
428,2034,0.3
557,2034,0.1
1426,2034,0.2
208,2034,0.2
379,2034,0.2
547,2034,0.2
895,2034,0.2
1566,2034,0.2
1525,2034,0.1
19,2034,0.1
175,2034,0.4
192,2034,0.2
340,2034,0.2
465,2034,0.1
830,2034,0.2
988,2034,0.2
1010,2034,0.4
1206,2034,0.1
20,2034,0.1
39,2034,0.2
275,2034,0.2
472,2034,0.1
1232,2034,0.1
279,2034,0.2
248,2034,0.2
541,2034,0.1
628,2034,0.2
216,2034,0.2
364,2034,0.3
468,2034,0.2
1226,2035,0.1
428,2035,0.3
557,2035,0.1
1426,2035,0.2
208,2035,0.2
379,2035,0.2
547,2035,0.2
895,2035,0.2
1566,2035,0.2
1525,2035,0.1
19,2035,0.1
175,2035,0.4
192,2035,0.2
340,2035,0.2
465,2035,0.1
830,2035,0.3
988,2035,0.2
1010,2035,0.4
1206,2035,0.2
20,2035,0.1
39,2035,0.2
275,2035,0.2
472,2035,0.1
1232,2035,0.1
